local_id,provider,remote_id,concept,label,language,semantic_category,source_url,image_url,local_raw_path,local_normalized_path,local_category_path,file_format,license,author,attribution,download_date,last_checked,status
picto_000065,arasaac,25315,peligro,Peligro,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/25315?download=false,pictograms/arasaac/raw/peligro__arasaac__25315.png,pictograms/arasaac/normalized/peligro__arasaac__25315.png,pictograms/arasaac/by_category/urgencias/peligro__arasaac__25315.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:03.573Z,2026-06-18T22:46:26.409Z,active
picto_000066,arasaac,12252,ayuda,Ayuda,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/12252?download=false,pictograms/arasaac/raw/ayuda__arasaac__12252.png,pictograms/arasaac/normalized/ayuda__arasaac__12252.png,pictograms/arasaac/by_category/urgencias/ayuda__arasaac__12252.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:04.158Z,2026-06-18T22:46:26.412Z,active
picto_000067,arasaac,36914,esperar,Esperar,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/36914?download=false,pictograms/arasaac/raw/esperar__arasaac__36914.png,pictograms/arasaac/normalized/esperar__arasaac__36914.png,pictograms/arasaac/by_category/urgencias/esperar__arasaac__36914.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:04.617Z,2026-06-18T22:46:26.414Z,active
picto_000068,arasaac,37484,no correr,No correr,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/37484?download=false,pictograms/arasaac/raw/no_correr__arasaac__37484.png,pictograms/arasaac/normalized/no_correr__arasaac__37484.png,pictograms/arasaac/by_category/urgencias/no_correr__arasaac__37484.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:05.235Z,2026-06-18T22:46:26.416Z,active
picto_000069,arasaac,28269,no empujar,No empujar,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/28269?download=false,pictograms/arasaac/raw/no_empujar__arasaac__28269.png,pictograms/arasaac/normalized/no_empujar__arasaac__28269.png,pictograms/arasaac/by_category/urgencias/no_empujar__arasaac__28269.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:05.668Z,2026-06-18T22:46:26.420Z,active
picto_000070,arasaac,8207,punto de reunión,Punto de reunión,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/8207?download=false,pictograms/arasaac/raw/punto_de_reunion__arasaac__8207.png,pictograms/arasaac/normalized/punto_de_reunion__arasaac__8207.png,pictograms/arasaac/by_category/urgencias/punto_de_reunion__arasaac__8207.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:06.448Z,2026-06-18T22:46:26.422Z,active
picto_000071,arasaac,12261,seguridad,Seguridad,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/12261?download=false,pictograms/arasaac/raw/seguridad__arasaac__12261.png,pictograms/arasaac/normalized/seguridad__arasaac__12261.png,pictograms/arasaac/by_category/urgencias/seguridad__arasaac__12261.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:07.252Z,2026-06-18T22:46:26.424Z,active
picto_000072,arasaac,12261,protección,Protección,es,urgencias,https://arasaac.org,https://api.arasaac.org/api/pictograms/12261?download=false,pictograms/arasaac/raw/proteccion__arasaac__12261.png,pictograms/arasaac/normalized/proteccion__arasaac__12261.png,pictograms/arasaac/by_category/urgencias/proteccion__arasaac__12261.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:07.833Z,2026-06-18T22:46:26.426Z,active
picto_000073,arasaac,25471,silla de ruedas,Silla de ruedas,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/25471?download=false,pictograms/arasaac/raw/silla_de_ruedas__arasaac__25471.png,pictograms/arasaac/normalized/silla_de_ruedas__arasaac__25471.png,pictograms/arasaac/by_category/comunicacion_basica/silla_de_ruedas__arasaac__25471.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:08.430Z,2026-06-18T22:46:26.429Z,active
picto_000074,arasaac,5922,bastón,Bastón,es,comunicacion_basica,https://arasaac.org,https://api.arasaac.org/api/pictograms/5922?download=false,pictograms/arasaac/raw/baston__arasaac__5922.png,pictograms/arasaac/normalized/baston__arasaac__5922.png,pictograms/arasaac/by_category/comunicacion_basica/baston__arasaac__5922.png,png,CC BY-NC-SA,Sergio Palao,Gobierno de Aragón / Sergio Palao / ARASAAC,2026-06-18T21:09:08.899Z,2026-06-18T22:46:26.431Z,active
